chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,poly_features,tonnetz,zero_crossing_rate,tempogram
[0.58192922 0.63364222 0.31362557 ... 0.25773356 0.24894987 0.24593252],[0.58112998 0.72362629 0.61578445 ... 0.4546306  0.42527189 0.66194328],[0.26112758 0.25950009 0.25781836 ... 0.24391166 0.24403307 0.24423593],"[6.29665581e-08 6.14932231e-04 1.22972455e-02 ... 8.07156298e-01
 1.04403417e+00 9.08047630e-01]","[-26.8228742  -20.81034888 -14.9061721  ...  -8.96272482  -9.17696944
  -8.28730803]",[0.00027698 0.0053582  0.00823891 ... 0.06540968 0.07049907 0.07591682],"[3781.99863503 2727.4261724  2785.64566157 ... 2349.69824309 2383.34685918
 2330.16973105]","[2831.64285708 2875.31829316 2894.86596006 ... 2162.03239486 2149.85367021
 2083.60385232]","[22.19248148 12.95069335 17.87473387 ... 26.51368603 24.7486736
 23.9068998 ]",[0.11061513 0.04587515 0.02275491 ... 0.00221365 0.00269602 0.00338524],"[6933.69140625 6492.26074219 6578.39355469 ... 4446.60644531 4446.60644531
 4231.27441406]","[3.68649617e-04 2.81528273e-02 1.01697172e-01 ... 7.02958342e-01
 8.29552362e-01 9.52364071e-01]","[-0.00498405 -0.01324689 -0.00073775 ... -0.04237503 -0.03620474
 -0.01091398]",[0.32763672 0.37109375 0.40087891 ... 0.17089844 0.14550781 0.10791016],[0.06381328 0.0646152  0.06542722 ... 0.09790047 0.09854908 0.09920901]
[0.40385521 0.49238046 0.37707959 ... 0.16626861 0.17352862 0.23902469],[0.60158988 0.75191536 0.63874566 ... 0.48594969 0.49723852 0.85736671],[0.25742855 0.25608751 0.25480624 ... 0.25281973 0.2521564  0.25151369],"[4.81926560e-07 1.28581065e-02 3.88877220e-01 ... 1.69306444e-01
 1.47697291e-01 1.18244344e-01]","[-28.13375933 -14.44049411  -9.69517147 ... -12.56287226 -10.1688753
  -9.66409582]",[0.00062646 0.03097102 0.04159257 ... 0.02631812 0.02484309 0.02407197],"[2955.69246792 1239.01710661 1172.26748787 ...  798.0919826   799.66712173
  842.38471496]","[2674.01606025 1711.35864704 1611.4841761  ... 1008.76152774 1125.41052765
 1288.94977046]","[21.98718985 16.27983914 21.10485704 ... 26.37808118 20.73936959
 19.04261865]","[3.9598268e-02 2.6211180e-03 1.0960446e-03 ... 4.4924644e-05 1.8882284e-04
 4.1293039e-04]","[6503.02734375 2110.25390625 2067.1875     ... 1119.7265625  1119.7265625
 1281.22558594]",[0.00094206 0.12046338 0.51363076 ... 0.26016144 0.25620977 0.25164437],"[ 0.01550491  0.00824175  0.00489125 ... -0.00647337 -0.01172735
  0.01666042]",[0.28027344 0.30029297 0.31494141 ... 0.03710938 0.04541016 0.03613281],[0.03869425 0.03918938 0.03969114 ... 0.15801817 0.15798834 0.15796651]
[0.56394397 0.43866736 0.22887281 ... 0.21368476 0.23685926 0.44431218],[0.49092405 0.70894657 0.61782053 ... 0.41276605 0.47748881 0.69227575],[0.25940298 0.25802028 0.25662326 ... 0.2402012  0.24134271 0.24239201],"[2.78657970e-08 2.58880028e-03 6.42300373e-02 ... 2.41640191e-01
 2.49574297e-01 3.15042327e-01]","[-31.88604536 -16.27779909 -11.07746975 ... -12.12194622 -10.01045008
  -9.21510924]",[0.00015051 0.01149258 0.02124869 ... 0.03439932 0.03451721 0.03403216],"[4028.27071564 1431.24964605 1165.52758898 ...  628.43259397  926.5734336
 1209.37057092]","[3277.62923128 2159.55326335 1830.09613103 ...  599.65153081 1285.37215239
 1660.67691945]","[23.01964769 12.64784723 17.58083193 ... 24.32970268 17.51179372
 20.12588118]","[7.4285462e-02 6.6537610e-03 1.7816051e-03 ... 8.4828071e-06 7.8760559e-04
 2.3270873e-03]","[8613.28125    2465.55175781 1701.12304688 ... 1055.12695312 1410.42480469
 2056.42089844]","[2.08019836e-04 5.17854370e-02 1.98522932e-01 ... 3.10431191e-01
 3.99648471e-01 5.12130444e-01]","[ 0.01319797  0.01298881  0.00828297 ... -0.05718246 -0.04626499
  0.01769383]",[0.29882812 0.32324219 0.33105469 ... 0.03955078 0.03710938 0.02734375],[0.01957957 0.01980468 0.02003352 ... 0.08631111 0.08646848 0.08663455]
[0.74087977 0.65415604 0.62946395 ... 0.16933291 0.15812525 0.17332487],[0.48733242 0.57302679 0.62898848 ... 0.38395224 0.35939399 0.46039223],[0.2769396  0.27732232 0.27765909 ... 0.23753766 0.23575954 0.23399626],"[7.74394082e-10 9.92192400e-08 1.03169664e-06 ... 2.42845726e+00
 2.17113937e+00 1.90947266e+00]","[-26.55246951 -26.55246951 -26.55246951 ...  -7.45056684  -6.52729947
  -5.54125951]","[2.1219170e-05 7.4582866e-05 8.1782789e-05 ... 1.0367303e-01 9.9546537e-02
 9.5889211e-02]","[5211.56421443 5286.67907272 5177.58770766 ... 1893.66365914 2005.92649056
 2073.49913441]","[3069.32284861 3118.06902487 3131.23135529 ... 2043.09916062 2109.96461075
 2193.76521723]","[20.25854771 16.22945673 14.9737003  ... 25.94518963 23.14821958
 21.12799785]",[0.2854223  0.31721488 0.30042034 ... 0.00101897 0.00262789 0.00525209],"[8807.08007812 8925.51269531 8925.51269531 ... 3897.50976562 4349.70703125
 4511.20605469]","[3.96149024e-05 4.65158879e-04 1.50549059e-03 ... 8.97741432e-01
 9.38174016e-01 1.07249271e+00]","[ 0.05518266  0.02925462  0.0277172  ... -0.05920916 -0.04080917
 -0.01980501]",[0.33105469 0.43701172 0.484375   ... 0.09570312 0.09521484 0.07226562],[0.0322108  0.03253813 0.03287049 ... 0.20365623 0.20372617 0.20380064]
[0.71733467 0.68092403 0.73554632 ... 0.20228217 0.21296432 0.24174045],[0.42479029 0.50230348 0.67570729 ... 0.35767558 0.44952507 0.53249432],[0.28185545 0.28223526 0.28250873 ... 0.2262369  0.22690454 0.227528  ],"[3.50740261e-10 4.31858008e-08 4.25586633e-07 ... 1.32813176e+00
 1.18223215e+00 7.12610378e-01]","[-27.75649587 -27.75649587 -27.75649587 ...  -7.80947297  -8.42968818
  -9.75840534]","[7.9319689e-06 5.7060217e-05 5.8791946e-05 ... 6.9459632e-02 6.6454694e-02
 6.6989355e-02]","[5139.60171735 5657.5558023  5741.85888853 ... 1506.25661316 1461.34215637
 1474.41762553]","[3026.7185631  3085.27747629 3036.32642629 ... 1893.00956164 1842.0394855
 1890.29011513]","[21.79648789 13.9144602  13.5080869  ... 23.71423665 21.62914393
 21.4345726 ]",[0.3135522  0.39008138 0.34529948 ... 0.00132398 0.00164462 0.00275779],"[8914.74609375 9237.74414062 9259.27734375 ... 2971.58203125 3025.41503906
 2993.11523438]","[2.88525870e-05 2.85865639e-04 8.63216084e-04 ... 7.63591297e-01
 7.50629545e-01 6.74819050e-01]","[ 0.04287334  0.03016954  0.01292245 ... -0.06548775 -0.04827046
 -0.00572649]",[0.34375    0.48242188 0.60058594 ... 0.05419922 0.0546875  0.04101562],[0.07002817 0.07074167 0.07146203 ... 0.22117737 0.22141022 0.22164983]
[0.54538912 0.74379966 0.42116396 ... 0.23878578 0.19429557 0.23331657],[0.46333821 0.6502858  0.63258733 ... 0.49305964 0.44535515 0.58437078],[0.25263435 0.25158038 0.2506591  ... 0.21751227 0.21922318 0.22097794],"[1.27692985e-07 7.62424867e-04 1.63188319e-02 ... 4.25559492e-02
 2.95956558e-02 1.45602356e-02]","[-30.11837462 -19.35050076 -13.91336786 ... -14.17077551 -14.27784622
 -15.38930341]",[0.00026914 0.00609136 0.008712   ... 0.01493084 0.0107623  0.00932233],"[2035.20367883  859.41450735  716.97696482 ...  712.12727376  712.94102089
  733.17826863]","[2505.30431616 1571.62114657 1297.77679977 ...  839.93611735  870.55291601
 1055.00871084]","[25.55092337 13.66581386 16.39559914 ... 22.35060023 18.39620978
 15.27225806]","[1.1740762e-02 1.3446145e-03 4.6066931e-04 ... 5.8864829e-05 9.1966409e-05
 2.7766437e-04]","[4974.16992188 1001.29394531  818.26171875 ... 1335.05859375 1281.22558594
 1065.89355469]",[0.00033503 0.02492171 0.0985726  ... 0.13535453 0.12098945 0.09070193],"[ 0.10311387  0.04385668  0.00681387 ... -0.00033948 -0.01953101
 -0.01884047]",[0.25878906 0.26708984 0.27539062 ... 0.03271484 0.06787109 0.05810547],[0.04798698 0.04863465 0.04929184 ... 0.21759659 0.22029487 0.22293389]
[0.79567421 0.44991384 0.42669798 ... 0.19492006 0.20050995 0.32520961],[0.43027518 0.60415138 0.669911   ... 0.434716   0.47661864 0.59072605],[0.27079598 0.27152182 0.27216072 ... 0.26873774 0.26829036 0.26770329],"[4.84029047e-10 2.64013187e-08 3.14036505e-07 ... 1.01821649e+00
 9.24382893e-01 5.93311997e-01]","[-30.69796727 -30.69796727 -30.69796727 ...  -7.25321417  -7.66048534
  -9.14936982]","[1.0037896e-05 4.7273574e-05 5.0173050e-05 ... 6.6576965e-02 6.0495410e-02
 5.9433065e-02]","[5201.79725047 5551.20105582 5538.65882298 ...  531.63767221  753.06381362
 1188.33673532]","[2994.68575882 2907.067307   2966.18486916 ...  754.45711459 1264.70780642
 1850.59752035]","[21.40633432 13.82863339 16.48548353 ... 21.65846758 18.22595999
 18.07873421]","[2.9225868e-01 3.5947603e-01 3.1426197e-01 ... 2.0287835e-05 3.2282350e-04
 1.9800332e-03]","[8807.08007812 8742.48046875 8774.78027344 ...  829.02832031  979.76074219
 1884.15527344]","[3.30644918e-05 2.33500939e-04 7.72941890e-04 ... 5.87338119e-01
 6.06315161e-01 5.77235911e-01]","[ 0.02536151  0.01641282  0.0067171  ... -0.02607899 -0.01068785
  0.0245046 ]",[0.34863281 0.45849609 0.58251953 ... 0.03515625 0.03808594 0.02978516],[0.05519856 0.05547512 0.05575504 ... 0.18441898 0.18507104 0.18573196]
[0.50722655 0.35726986 0.21543808 ... 0.2958206  0.29109547 0.44954979],[0.65624314 0.7413169  0.73998364 ... 0.60122101 0.55647419 0.57810162],[0.26267403 0.26277718 0.26296838 ... 0.26103915 0.26063825 0.26024423],"[3.33757249e-06 6.10373697e-02 1.26808014e+00 ... 1.28369581e+00
 1.29144601e+00 1.15682370e+00]","[-28.42971761  -8.15712818  -3.30175541 ...  -8.90885354  -8.68190613
  -6.50050286]",[0.0016459  0.05349802 0.06515053 ... 0.07637019 0.07251337 0.0729894 ],"[3301.7455764  1481.03458188 1140.10450126 ...  601.44159455  671.53455508
  820.38440781]","[2795.14420655 2142.37125156 1751.73528592 ...  807.04390515 1071.64202075
 1448.6864673 ]","[26.77934212 15.53634462 16.63700997 ... 23.86718993 20.31904528
 18.40061975]","[3.2288544e-02 4.4995109e-03 1.3662468e-03 ... 4.5932506e-05 1.5869325e-04
 5.5677013e-04]","[6567.62695312 2993.11523438 1744.18945312 ...  968.99414062  990.52734375
 1001.29394531]",[0.00239619 0.21497277 0.84048608 ... 0.69501256 0.70926211 0.77811126],[0.00242764 0.00727331 0.00405409 ... 0.05235919 0.06149958 0.03229919],[0.28710938 0.30419922 0.31445312 ... 0.03662109 0.04443359 0.03369141],[0.03667099 0.03709118 0.03751642 ... 0.16054471 0.16076365 0.16099423]
[0.75427679 0.60807946 0.60446513 ... 0.1600803  0.14986142 0.18895512],[0.61635159 0.79563102 0.77225732 ... 0.29742094 0.2910367  0.52742413],[0.28755176 0.28771579 0.28784289 ... 0.23367594 0.23219839 0.2306559 ],"[6.71107172e-10 7.49716888e-08 6.83922030e-07 ... 2.59045449e+00
 2.62614036e+00 2.24089303e+00]","[-27.18211954 -27.18211954 -27.18211954 ...  -7.04836642  -6.62595443
  -5.09296697]","[1.95915709e-05 7.60698458e-05 7.75241788e-05 ... 1.05066255e-01
 1.04097225e-01 1.05083063e-01]","[5343.42341836 5995.33420544 6011.14339396 ... 1524.84590401 1529.66394615
 1455.23775102]","[3029.39524584 2998.19728374 2995.820098   ... 1994.2499832  2000.80479908
 1926.74306616]","[22.57233669 14.59582218 14.45317827 ... 26.29321162 23.89718173
 20.313527  ]",[0.2856233  0.36343184 0.36752567 ... 0.00091646 0.00139902 0.00204325],"[8947.04589844 9453.07617188 9474.609375   ... 2820.84960938 2874.68261719
 2659.35058594]","[3.71264396e-05 3.24376574e-04 9.73178527e-04 ... 9.58467620e-01
 1.01283773e+00 1.09566248e+00]","[-0.01151348  0.00091536 -0.00135723 ... -0.01085003 -0.02319454
 -0.01238883]",[0.34375    0.49169922 0.62353516 ... 0.06347656 0.06103516 0.04394531],[0.0789943  0.07962087 0.08025085 ... 0.2519622  0.25190513 0.25185363]
[0.64360007 0.44284689 0.24241611 ... 0.45752179 0.51221689 0.39991272],[0.45587582 0.62321578 0.59669298 ... 0.4506788  0.48524789 0.53277166],[0.20624563 0.20270054 0.19925671 ... 0.24242581 0.24261852 0.24278728],"[1.35366173e-07 2.04742132e-03 4.61482773e-02 ... 9.98218845e-02
 9.76982220e-02 7.84554243e-02]","[-30.29958117 -20.76734927 -13.51023672 ...  -6.86607263  -6.47295094
  -6.70722415]",[0.00032713 0.01010362 0.01586893 ... 0.020927   0.02005485 0.01968913],"[3569.24972995 1923.32628831 1625.29426353 ... 1063.21539333 1054.80070008
 1102.14210672]","[3020.38926744 2293.55282392 2102.92680744 ... 1606.98500081 1550.69159769
 1521.50602879]","[24.46285502 15.74334614 17.07792401 ... 23.19125418 22.07325239
 22.97837735]",[0.0544772  0.01316767 0.00435436 ... 0.00071433 0.00094241 0.00116482],"[7547.38769531 4188.20800781 3402.24609375 ... 2034.88769531 1948.75488281
 2174.85351562]",[0.00049994 0.04805367 0.16865427 ... 0.23709552 0.25475553 0.24857327],"[ 0.00897081  0.00995713  0.00493048 ... -0.03866047 -0.02180073
 -0.0036751 ]",[0.31884766 0.34277344 0.35205078 ... 0.03710938 0.04101562 0.03369141],[0.04379161 0.044402   0.0450221  ... 0.28337688 0.28331462 0.28325406]
